0,1,2
0.7_0_16_1_0_5_0_4__250_3.keras,"[0.5024462938308716, 0.5169811248779297]","[0.502191424369812, 0.5593220591545105]"
0.7_0_16_1_0_5_0_8_250_3.keras,"[0.5078852772712708, 0.4312500059604645]","[0.5072659850120544, 0.4637681245803833]"
0.7_0_16_1_0_5_1_4_250_3.keras,"[0.502674400806427, 0.621052622795105]","[0.5006696581840515, 0.5104166865348816]"
0.7_0_4_1_0_5_2_8_250_3.keras,"[0.45133110880851746, 0.6822742223739624]","[0.591255247592926, 0.7058823704719543]"
0.7_0_4_2_0_5_1_8_250_3.keras,"[0.4816572666168213, 0.6012658476829529]","[0.5060195326805115, 0.517241358757019]"
0.7_0_4_2_0_5_2_4_250_3.keras,"[0.5126026272773743, 0.49193549156188965]","[0.5060262680053711, 0.6111111044883728]"
0.7_0_4_3_0_5_0_4_250_3.keras,"[0.5083099007606506, 0.46105918288230896]","[0.5015556812286377, 0.523809552192688]"
0.7_0_8_1_0_5_0_8_250_3.keras,"[0.47492241859436035, 0.6639344096183777]","[0.5177986025810242, 0.5476190447807312]"
0.7_0_8_1_0_5_1_8_250_3.keras,"[0.49538666009902954, 0.5]","[0.4997076988220215, 0.5164835453033447]"
0.7_0_8_1_0_5_2_16_250_3.keras,"[0.33857113122940063, 0.7987220287322998]","[1.3995907306671143, 0.6271186470985413]"
0.7_0_8_1_0_5_2_4_250_3.keras,"[0.45929041504859924, 0.67507004737854]","[0.5781691074371338, 0.5163934230804443]"
0.7_0_8_2_0_5_0_4_250_3.keras,"[0.5206796526908875, 0.3510638177394867]","[0.5127648711204529, 0.5957446694374084]"
0.7_0_8_2_0_5_1_8_250_3.keras,"[0.49681949615478516, 0.550561785697937]","[0.5542841553688049, 0.6666666865348816]"
0.7_0_8_2_0_5_2_8_250_3.keras,"[0.43702706694602966, 0.6118643879890442]","[1.0989068746566772, 0.5555555820465088]"
0.7_0_8_3_0_5_0_8_250_3.keras,"[0.4739895164966583, 0.5882353186607361]","[0.5693220496177673, 0.45132744312286377]"
0.7_1_16_1_0_5_1_16_250_3.keras,"[0.46244576573371887, 0.6530612111091614]","[0.5693225860595703, 0.6666666865348816]"
0.7_1_32_1_0_5_3_32_250_3.keras,"[0.20583660900592804, 0.8602150678634644]","[2.125250816345215, 0.46268656849861145]"
0.7_1_4_1_0_5_2_16_250_3.keras,"[0.48019349575042725, 0.6000000238418579]","[0.5296670198440552, 0.40909090638160706]"
0.7_1_4_1_0_5_2_32_250_3.keras,"[0.4703257083892822, 0.577464759349823]","[0.5237366557121277, 0.5530303120613098]"
0.7_1_4_2_0_5_1_64_250_3.keras,"[0.5038884878158569, 0.5147929191589355]","[0.5141612887382507, 0.5648148059844971]"
0.7_1_4_2_0_5_1_8_250_3.keras,"[0.4845925569534302, 0.6528497338294983]","[0.5196716785430908, 0.49635037779808044]"
0.7_1_4_3_0_5_1_64_250_3.keras,"[0.4453835189342499, 0.6867470145225525]","[0.5432719588279724, 0.4444444477558136]"
0.7_1_4_3_0_5_4_32_250_3.keras,"[0.35850790143013, 0.7397708892822266]","[2.154752492904663, 0.5049505233764648]"
0.7_1_64_3_0_5_2_16_250_3.keras,"[0.08562443405389786, 0.9600456357002258]","[5.723128795623779, 0.4385964870452881]"
0.7_1_8_1_0_5_1_16_250_3.keras,"[0.4740983247756958, 0.604651153087616]","[0.5595898032188416, 0.5802469253540039]"
0.7_1_8_1_0_5_1_4_250_3.keras,"[0.47658771276474, 0.5791245698928833]","[0.5689499974250793, 0.4878048896789551]"
0.7_1_8_1_0_5_1_64_250_3.keras,"[0.48795539140701294, 0.6567164063453674]","[0.5696809887886047, 0.5333333611488342]"
0.7_1_8_1_0_5_4_16_250_3.keras,"[0.3045153021812439, 0.8320726156234741]","[1.14887535572052, 0.5555555820465088]"
0.7_1_8_2_0_5_1_32_250_3.keras,"[0.4202483892440796, 0.7160493731498718]","[1.1088230609893799, 0.5166666507720947]"
0.7_1_8_2_0_5_1_8_250_3.keras,"[0.39898571372032166, 0.6741213798522949]","[1.3551650047302246, 0.49180328845977783]"
0.7_1_8_2_0_5_3_4_250_3.keras,"[0.4203786253929138, 0.7090069055557251]","[1.651313304901123, 0.5333333611488342]"
0.7_1_8_2_0_5_4_8_250_3.keras,"[0.31640952825546265, 0.7790209650993347]","[2.108243942260742, 0.3333333432674408]"
0.7_1_8_3_0_5_1_32_250_3.keras,"[0.3722466230392456, 0.6714697480201721]","[1.4146391153335571, 0.7333333492279053]"
0.7_1_8_3_0_5_1_8_250_3.keras,"[0.38354939222335815, 0.7103235721588135]","[0.9563798904418945, 0.450549453496933]"
0.7_2_16_2_0_5_1_32_250_3.keras,"[0.296832412481308, 0.7295409440994263]","[1.996045708656311, 0.43478259444236755]"
0.7_2_32_1_0_5_1_64_250_3.keras,"[0.29205501079559326, 0.85173499584198]","[1.0901498794555664, 0.29104477167129517]"
0.7_2_32_1_0_5_1_8_250_3.keras,"[0.2720196843147278, 0.8744394779205322]","[2.815366744995117, 0.4375]"
0.7_2_4_2_0_5_1_8_250_3.keras,"[0.4659721255302429, 0.5537189841270447]","[0.6257365942001343, 0.800000011920929]"
0.7_2_4_2_0_5_4_16_250_3.keras,"[0.5005400776863098, 0.6216216087341309]","[0.5249925851821899, 0.695652186870575]"
0.7_2_4_3_0_5_2_4_250_3.keras,"[0.4327482283115387, 0.6165919303894043]","[0.668850839138031, 0.5182482004165649]"
0.7_2_4_3_0_5_4_8_250_3.keras,"[0.5081029534339905, 0.6095238327980042]","[0.5300745368003845, 0.5333333611488342]"
0.7_2_8_1_0_5_1_32_250_3.keras,"[0.4670089781284332, 0.6498516201972961]","[0.6655116081237793, 0.6296296119689941]"
0.7_2_8_1_0_5_1_8_250_3.keras,"[0.451551616191864, 0.5514950156211853]","[0.6020201444625854, 0.5932203531265259]"
0.7_2_8_3_0_5_2_4_250_3.keras,"[0.3009965121746063, 0.796657383441925]","[1.5831965208053589, 0.4175824224948883]"
0.7_2_8_3_0_5_2_8_250_3.keras,"[0.34138014912605286, 0.7869362235069275]","[1.2328075170516968, 0.4202127754688263]"
0.7_2_8_3_0_5_3_64_250_3.keras,"[0.26065608859062195, 0.8440629243850708]","[8.75467300415039, 0.47887325286865234]"
0.7_3_16_1_0_5_1_32_250_3.keras,"[0.4007790982723236, 0.6709886789321899]","[1.5605013370513916, 0.6296296119689941]"
0.7_3_8_1_0_5_3_64_250_3.keras,"[0.43042486906051636, 0.6773399114608765]","[1.5855084657669067, 0.5233644843101501]"
0.7_3_8_2_0_5_1_4_250_3.keras,"[0.3938370645046234, 0.7332015633583069]","[1.457206130027771, 0.5]"
0.7_3_8_2_0_5_3_64_250_3.keras,"[0.28545859456062317, 0.845329225063324]","[1.560046911239624, 0.47159090638160706]"
0.7_3_8_2_0_5_4_64_250_3.keras,"[0.3247104585170746, 0.7669773697853088]","[1.0976463556289673, 0.5694444179534912]"
0.7_3_8_3_0_5_1_8_250_3.keras,"[0.2702385485172272, 0.8541353344917297]","[1.8112255334854126, 0.40860214829444885]"
0.7_3_8_3_0_5_3_16_250_3.keras,"[0.25032246112823486, 0.7899060845375061]","[2.0848724842071533, 0.5057471394538879]"
0.7_3_8_3_0_5_4_64_250_3.keras,"[0.2538392245769501, 0.7944250702857971]","[1.4101452827453613, 0.5300546288490295]"
